"","ticker","OPCL","pvCLCL","volMM","ret_1_RR","ret_1_MR","ret_5_RR","ret_5_MR"
"1","SPY",0.003466,0.007157,23290.5,0.000138,0,0.000314,0
"2","IWM",0.004559,0.009445,3153.4,0.00032,0.000261,0.000668,0.000498
"3","EEM",0.004802,0.018888,3311.2,0.000201,0.000191,0.000393,0.000375
"4","TLT",-0.007937,-0.010799,2037.7,0.000225,0.000286,0.000533,0.00065
"5","USO",0,0.004996,144.6,0.000408,0.000421,0.000883,0.000985
"6","GLD",0.003923,0.012131,1472.1,0.00015,0.000222,0.000293,0.000483
"7","XLF",-0.00607,0.000358,1547.8,0.000293,0.00025,0.000648,0.000506
"8","XLB",0.008835,0.014208,551.2,0.000219,0.000183,0.000473,0.000417
"9","XLK",0.00822,0.012353,888.4,0.000207,0.000161,0.000532,0.000387
"10","XLV",0.007443,0.011248,560.9,0.000224,0.00017,0.000503,0.000364
"11","XLI",0.002631,0.005947,1134.5,0.000256,0.000204,0.000624,0.000514
"12","XLU",-0.009155,-0.009301,640.4,0.000349,0.000329,0.000865,0.000831
"13","XLY",0.010838,0.015199,490.5,0.000172,0.000144,0.000373,0.00026
"14","XLP",-0.007225,-0.006152,1139.1,0.000287,0.000257,0.000501,0.000512
"15","XLE",0.011365,0.016468,1093.8,0.000281,0.000289,0.000579,0.000619
"16","AAP",0.050158,0.064199,278.4,0.001275,0.001275,0.002494,0.002479
"17","ABBV",0.012989,0.017578,448.9,0.000662,0.000642,0.001404,0.001329
"18","ABC",0.020303,0.024178,107,0.000639,0.000617,0.001158,0.001062
"19","ABT",0.010086,0.030138,594.6,0.000557,0.000563,0.001193,0.001206
"20","ACN",0.002213,0.004899,471,0.000493,0.000481,0.000926,0.000899
"21","ADM",-0.00274,0.000249,147.2,0.000557,0.000549,0.001162,0.001197
"22","ADS",0.004082,0.007298,153.1,0.000795,0.000787,0.001416,0.001341
"23","AEE",-0.010054,-0.010171,76.7,0.000517,0.000512,0.001119,0.001102
"24","AEP",-0.010578,-0.015767,218.5,0.00044,0.000427,0.000933,0.000904
"25","AES",0.00092,0.004617,49.7,0.000675,0.000669,0.001513,0.001457
"26","AGN",0.037508,0.041203,538.5,0.000711,0.000699,0.00151,0.001506
"27","AIG",-0.008368,-0.001343,224.3,0.000503,0.000466,0.001159,0.001047
"28","AJG",-0.021954,-0.017541,49.1,0.000512,0.00048,0.001023,0.000947
"29","ALB",0.019965,0.028462,147.1,0.000693,0.000676,0.001407,0.001322
"30","ALK",0.013016,0.020405,130.4,0.000714,0.000709,0.001194,0.001143
"31","ALL",-0.020876,-0.026645,488.1,0.00059,0.000584,0.001277,0.001247
"32","AMP",-0.004287,0.002596,138,0.000529,0.00049,0.001059,0.000938
"33","AMT",-0.014281,-0.010794,265.5,0.000663,0.000643,0.001215,0.001188
"34","ANET",-0.019503,-0.019314,201.5,0.00154,0.001525,0.002667,0.002608
"35","ANTM",0.004435,0.0044,291.9,0.000655,0.000632,0.001208,0.001111
"36","AON",-0.020773,-0.018731,115.5,0.000418,0.000406,0.00089,0.000866
"37","APA",0.037957,0.049266,177.4,0.000949,0.000942,0.001942,0.001954
"38","APH",-0.007602,0,107.8,0.000491,0.000484,0.000923,0.000831
"39","ARNC",0.016343,0.018716,83.2,0.000642,0.000626,0.001179,0.001073
"40","ATO",-0.010411,-0.009896,56.9,0.000511,0.00051,0.001008,0.000949
"41","AXP",-0.007953,-0.003726,271.8,0.00036,0.000328,9e-04,0.000758
"42","BA",0.003679,0.006544,884.3,0.000299,0.00029,0.000687,0.00066
"43","BAC",0.005029,0.012873,1707.9,0.000368,0.000338,0.000814,0.000739
"44","BAX",0.016209,0.03914,374.2,0.000736,0.000734,0.001565,0.001525
"45","BBY",0.013099,0.010077,255.4,0.000557,0.000551,0.001208,0.001161
"46","BDX",0.012704,0.017659,585.8,0.000698,0.000706,0.001288,0.001298
"47","BEN",-0.011951,-0.001846,102.9,0.000422,0.000371,0.001019,0.000869
"48","BK",-0.008326,-0.000743,195.5,0.000375,0.000329,0.000807,0.000697
"49","BLK",-0.019091,-0.009227,268.3,0.000688,0.000666,0.001182,0.001119
"50","BLL",0.01329,0.020608,110.2,0.000546,0.000544,0.001098,0.001103
"51","BMY",-0.001467,0.00049,396.8,0.000471,0.000437,0.000995,0.000914
"52","BSX",0.013541,0.019766,252.3,0.000602,0.00059,0.001358,0.001302
"53","BWA",0.007755,0.013506,61.5,0.000581,0.000539,0.001047,0.000939
"54","BXP",-0.008549,-0.005768,89.2,0.000594,0.000597,0.00106,0.001014
"55","CAG",-0.004255,-0.003982,95.5,0.000464,0.000462,0.001075,0.001049
"56","CAH",0.024495,0.03199,152.4,0.00073,0.000706,0.001415,0.001297
"57","CAT",-0.007991,-0.003427,802.2,0.000534,0.000518,0.001246,0.001197
"58","CCI",-0.014582,-0.018737,221.8,0.000531,0.000516,0.001119,0.001071
"59","CCL",-0.007017,0.005725,185.8,0.000468,0.00044,0.000929,0.000866
"60","CF",0.006512,0.014104,100.5,0.000883,0.000861,0.001827,0.001825
"61","CFG",0.007762,0.016675,216.5,0.000611,0.000571,0.001187,0.001068
"62","CHD",-0.012864,-0.01475,244.3,0.00053,0.000503,0.001035,0.001018
"63","CI",-0.00777,-0.00261,226,0.000497,0.000473,0.000962,0.000872
"64","CL",-0.003852,-0.004109,327,0.000514,0.000495,0.00101,0.001059
"65","CLX",-0.025871,-0.025212,125.8,0.000738,0.000714,0.001032,0.001027
"66","CMA",-0.009084,-0.002765,91.2,0.000595,0.000556,0.001103,0.001008
"67","CMG",0.007022,0.013563,428.9,0.00082,0.000823,0.001349,0.001362
"68","CMI",-0.002538,0.002378,185.5,0.000548,0.000528,0.001095,0.00102
"69","CMS",-0.009328,-0.0074,79.3,0.000399,0.00039,0.000881,0.000846
"70","CNC",0.018595,0.016951,114.9,0.001058,0.001021,0.001752,0.001593
"71","CNP",-0.013118,-0.011989,71.6,0.000445,0.000431,0.001069,0.001031
"72","COF",-0.004707,0.000301,165.7,0.000518,0.000456,0.001097,0.000935
"73","COG",0.020626,0.010489,151.6,0.000767,0.000769,0.001743,0.001766
"74","COP",0.004166,0.007834,220.5,0.000528,0.000532,0.001104,0.001109
"75","COTY",-0.003515,-0.000503,70.8,0.000624,0.00059,0.001223,0.001124
"76","CPB",-0.016948,-0.014966,104.5,0.000687,0.000684,0.001633,0.001622
"77","CRM",0.014762,0.021324,487.5,0.000476,0.000461,0.001144,0.001049
"78","CTL",0.032694,0.043765,216.7,0.00116,0.001141,0.002423,0.002369
"79","CVS",0.006276,0.014069,432.2,0.000601,0.000582,0.00117,0.001148
"80","CVX",0.014766,0.019091,717.9,0.000369,0.00038,0.000765,0.000824
"81","CXO",0.006804,0.011184,123,0.000753,0.00076,0.001351,0.001394
"82","D",-0.011395,-0.009622,173.7,0.000417,0.000397,0.000934,0.000886
"83","DE",0.008517,0.009584,299.8,0.00056,0.000534,0.001061,0.001029
"84","DFS",-0.004282,-0.00013,240.1,0.000641,0.000592,0.001208,0.001092
"85","DGX",0.001315,0.004163,86.5,0.000579,0.000557,0.001124,0.00104
"86","DHI",-0.006053,-0.000196,171.4,0.00055,0.000519,0.001265,0.001146
"87","DHR",-0.007973,-0.004094,335,0.00037,0.000355,0.000772,0.000736
"88","DIS",0.025822,0.039903,1231.4,0.000492,0.000499,0.001151,0.001191
"89","DOV",0.002363,0.006931,85.8,0.000641,0.000606,0.001148,0.001056
"90","DRE",-0.012932,-0.01176,75.2,0.000486,0.000488,0.001017,0.000992
"91","DRI",-0.004764,0.003124,194.1,0.000751,0.000743,0.00135,0.00137
"92","DTE",-0.011278,-0.009227,107.2,0.00051,0.000518,0.000988,0.000967
"93","DUK",-0.012537,-0.010462,263.7,0.000372,0.000363,0.000905,0.000913
"94","DVN",0.010474,0.020048,202,0.000661,0.000667,0.001338,0.001397
"95","DXC",0.001579,0.001581,99.5,0.000508,0.000507,0.001019,0.000919
"96","ECL",0.002233,0.002385,126.6,0.000423,0.000415,0.000679,0.000706
"97","ED",-0.013901,-0.016127,167,0.000482,0.000472,0.001171,0.001139
"98","EFX",0.011527,0.013738,200.2,0.000825,0.000813,0.001491,0.001445
"99","EIX",-0.00599,0.000158,151,0.000711,0.000689,0.00156,0.001504
"100","EL",-0.000392,0.002751,164.4,0.000506,0.000475,0.000846,0.000813
"101","EMR",0.009659,0.015067,218.3,0.000494,0.000463,0.001096,0.001005
"102","EQR",-0.007217,-0.004077,78.7,0.000359,0.000366,0.000818,0.00082
"103","ES",-0.000475,-0.000475,268,0.000479,0.00047,0.001046,0.001051
"104","ETN",-0.004681,-0.001899,222,0.000578,0.000545,0.001391,0.001342
"105","ETR",0.010833,0.014867,149.8,0.000431,0.000417,0.001048,0.000986
"106","EW",-0.000896,-0.010026,196.4,0.000827,0.000818,0.001131,0.001079
"107","EXC",0.001264,0.004567,204,0.000419,0.000399,0.000955,0.000924
"108","EXR",-0.023872,-0.02024,97.3,0.000677,0.000671,0.001312,0.001331
"109","F",0.01112,0.013611,263,0.000353,0.000343,0.000865,0.000789
"110","FBHS",0.000437,0.004383,54.9,0.00045,0.000437,0.000868,0.00084
"111","FCX",0.037099,0.042722,433,0.000843,0.000836,0.001984,0.001916
"112","FDX",0.026633,0.032299,634,0.000836,0.000814,0.001809,0.001762
"113","FE",0.00325,0.006532,125.9,0.00054,0.000534,0.001321,0.001317
"114","FIS",-0.006489,-0.004145,115.4,0.000405,0.000398,0.000759,0.000744
"115","FMC",0.003663,0.011304,113.1,0.000673,0.000652,0.001058,0.000972
"116","FTI",0.019972,0.017566,103.1,0.000621,0.000621,0.001223,0.001282
"117","GD",-0.015098,-0.014549,318.4,0.000664,0.000647,0.0011,0.001017
"118","GE",0.022498,0.030372,1394.7,0.000693,0.00066,0.001545,0.001458
"119","GIS",-0.006584,-0.004217,242.3,0.000501,0.000502,0.001184,0.001181
"120","GLW",0.009239,0.019694,199.9,0.000506,0.000471,0.001153,0.001069
"121","GPC",0.010827,0.016525,91.3,0.000821,0.000808,0.00131,0.001293
"122","GPS",-0.008233,0.001174,178.9,0.000883,0.00089,0.001633,0.001651
"123","GS",-0.00818,0.003572,577.4,0.000493,0.000468,0.000992,0.000916
"124","GWW",-0.005669,-0.002286,150.1,0.000859,0.000848,0.001609,0.001545
"125","HBI",0.014185,0.018651,104.5,0.000815,0.000814,0.002148,0.002117
"126","HD",-0.011527,-0.007914,880.9,0.000324,0.00031,0.000698,0.000612
"127","HES",-0.002505,0.008005,137.5,0.000825,0.000832,0.001967,0.002017
"128","HFC",-0.001558,0.001562,125.7,0.000821,0.000815,0.001586,0.001524
"129","HIG",-0.019174,-0.017946,86.7,0.000539,0.000521,0.001178,0.001144
"130","HII",-0.032152,-0.032626,2058.2,0.001254,0.00125,0.002445,0.002399
"131","HON",-0.000715,0.002282,440.2,0.000301,0.000276,0.000719,0.00066
"132","HP",0.002758,0.010984,89.7,0.001068,0.001087,0.002105,0.002154
"133","HPE",0.012397,0.017409,104.5,0.000617,0.000591,0.001506,0.001399
"134","HPQ",0.006588,0.014755,137.7,0.00045,0.000436,0.000901,0.000838
"135","HRB",0.011652,0.020595,58.7,0.000947,0.000931,0.0022,0.002142
"136","HRL",-0.004665,-0.000824,75.2,0.000521,0.000507,0.001193,0.001178
"137","HST",-0.001503,0.004534,102,0.000548,0.000522,0.001123,0.001051
"138","HSY",-0.012146,-0.012334,94.8,0.000565,0.000542,0.001154,0.001112
"139","IBM",-0.001619,0.00541,648.2,0.000331,0.00031,0.000636,0.000607
"140","ICE",-0.013085,-0.010062,223.2,0.000378,0.000366,0.000876,0.000809
"141","IP",0.018064,0.031584,189.9,0.000669,0.000645,0.001402,0.001327
"142","IPG",0.047014,0.004464,121,0.001332,0.001353,0.002024,0.002008
"143","IQV",0.012508,0.018999,134.6,0.000827,0.000799,0.001484,0.001389
"144","ITW",-0.012268,-0.00947,211.7,0.000611,0.000595,0.001214,0.001154
"145","IVZ",-0.01339,-0.0052,102.4,0.000467,0.00042,0.001023,0.00086
"146","JCI",-0.002351,0.003149,224.6,0.000586,0.000566,0.0011,0.001055
"147","JNJ",-0.003084,-0.003507,952.6,0.00039,0.000382,0.000735,0.000705
"148","JNPR",-0.001045,0.007018,54.6,0.00048,0.000431,0.000991,0.000846
"149","JPM",0.002969,0.009444,1465.8,0.000387,0.000343,0.000791,0.000703
"150","JWN",0.007356,0.036724,175,0.001173,0.001157,0.002635,0.002591
"151","K",-0.000882,-0.000147,202.4,0.000434,0.000437,0.000791,0.00079
"152","KEY",-0.007409,0,121.5,0.000577,0.000533,0.001084,0.000964
"153","KIM",-0.006601,-0.001653,74.6,0.000642,0.000622,0.001278,0.001241
"154","KMB",-0.014508,-0.013178,245.1,0.000599,0.000576,0.000997,0.000948
"155","KMX",0.007751,0.009824,175.8,0.000641,0.000626,0.00146,0.001457
"156","KO",-0.008092,-0.007411,495.1,0.000285,0.000271,0.000535,0.000597
"157","KR",0.027222,0.030965,330.9,0.000711,0.000702,0.001421,0.001418
"158","KSS",0.028075,0.039093,286.9,0.001074,0.001074,0.002152,0.002182
"159","LB",-0.022454,-0.00548,216.5,0.000778,0.000774,0.00134,0.001251
"160","LEG",-0.001462,0.002724,51.8,0.00084,0.000802,0.001895,0.00179
"161","LEN",0.014134,0.0253,240.9,0.000529,0.000505,0.001181,0.001157
"162","LLY",0.002601,0.002605,292.7,0.000534,0.000511,0.001129,0.001069
"163","LMT",-0.010803,-0.007818,378.9,0.00035,0.000361,0.000751,0.000751
"164","LNC",-0.001026,0.013529,100.9,0.000728,0.000693,0.001172,0.001055
"165","LNT",-0.012038,-0.011734,58.7,0.000413,0.000388,0.000946,0.000884
"166","LOW",-0.015165,-0.014203,602.2,0.000502,0.000493,0.000956,0.000875
"167","LUV",0.005749,0.012834,251.3,0.000574,0.000556,0.001204,0.001161
"168","LYB",0.01057,0.017313,126.6,0.000508,0.000485,0.000926,0.000883
"169","M",0.019187,0.044462,329.2,0.001017,0.001016,0.001588,0.00156
"170","MA",-0.000658,0.003634,481.4,0.000412,0.000383,0.000864,0.000794
"171","MAA",-0.00999,-0.009547,89.8,8e-04,0.000789,0.00113,0.001123
"172","MAC",0.007989,0.01416,212.5,0.000912,0.00091,0.001621,0.001572
"173","MAS",-0.005463,-0.002959,69.6,0.000392,0.000354,0.000826,0.000753
"174","MCD",-0.00294,0.006391,640.4,0.000436,0.000426,0.000852,0.000847
"175","MDT",0.000608,0.01808,393.2,0.000389,0.00039,0.000797,0.000741
"176","MET",-0.012477,-0.007516,272.2,0.000453,0.000406,0.001111,0.000973
"177","MGM",0.015639,0.003594,182.6,0.000558,0.000548,0.001177,0.001159
"178","MKC",-0.007676,-0.006673,87.9,0.00066,0.000637,0.001339,0.001283
"179","MLM",0.010634,0.017915,223.8,0.000804,0.000779,0.001249,0.001232
"180","MMC",-0.017752,-0.012164,235.3,0.000472,0.00046,0.000897,0.000852
"181","MMM",-0.000594,0.001147,690.6,0.000496,0.000453,0.001084,0.001029
"182","MO",-0.010826,-0.009383,418.6,0.00104,0.001025,0.001373,0.001367
"183","MOS",0.026618,0.038581,127,0.00084,0.000825,0.001665,0.001689
"184","MPC",0.016056,0.018187,205.3,0.000477,0.000467,0.001036,0.001003
"185","MRK",-0.00656,-0.000889,566.3,0.000371,0.000362,0.000796,0.000774
"186","MRO",0.015657,0.02658,140.9,0.00066,0.000677,0.001416,0.00148
"187","MS",-0.010862,-0.005336,346.8,0.000367,0.00032,0.000797,0.000657
"188","NBL",0.026516,0.036033,116.6,0.000682,0.000667,0.001455,0.001463
"189","NCLH",0.022076,0.032113,88.9,0.000595,0.000558,0.001232,0.001103
"190","NEM",0.007629,0.017058,203.2,0.00045,0.000481,0.000939,0.001051
"191","NI",-0.010981,-0.012076,68.3,0.000526,0.000503,0.001264,0.001205
"192","NKE",0.010131,0.015028,413.4,0.000394,0.000397,0.000698,0.000704
"193","NLSN",0.007117,0.007143,143.5,0.00092,0.000906,0.001885,0.001817
"194","NOC",-0.006889,-0.005441,218.2,0.000612,0.000593,0.001057,0.001033
"195","NOV",0.018374,0.021655,91.3,0.00073,0.000743,0.001491,0.001576
"196","NRG",0.011484,0.014747,188.5,0.000789,0.000776,0.0018,0.001736
"197","NSC",0.006828,0.014217,154.3,0.000664,0.000641,0.001255,0.001196
"198","NUE",0.035344,0.046241,249.9,0.00068,0.000658,0.001468,0.001413
"199","NWL",0.017536,0.023948,134.9,0.000811,0.000785,0.001548,0.001486
"200","OKE",0.01642,0.022451,139.3,0.00055,0.00055,0.00122,0.001174
"201","OMC",0.001513,-0.000824,223.1,0.00102,0.001025,0.001957,0.00196
"202","ORCL",-0.019958,-0.013748,1183.5,0.000664,0.000646,0.001656,0.001621
"203","OXY",-0.000405,0.004344,209.4,0.000394,0.000386,0.000844,8e-04
"204","PEG",-0.009756,-0.009709,153,0.00037,0.00036,0.000861,0.000851
"205","PFE",0.001648,0.006074,589.8,0.000364,0.000336,0.000688,0.000636
"206","PG",-0.013913,-0.013387,685.2,0.000337,0.000312,0.000636,0.00065
"207","PH",-0.0011,0.001503,171,0.000409,0.000371,0.000887,0.000816
"208","PHM",-0.002394,0.003609,98,0.000609,0.000585,0.00134,0.001265
"209","PLD",-0.00902,-0.007751,98.1,0.00042,0.000401,0.000951,0.00085
"210","PM",-0.013606,-0.011926,535.2,0.000534,0.000518,0.001072,0.001084
"211","PNC",-0.004347,0.002287,408.5,0.000499,0.000471,0.000975,0.000876
"212","PNW",-0.016668,-0.015144,62.8,0.000612,0.000608,0.001187,0.001168
"213","PPL",-0.015565,-0.011309,185,0.000467,0.000451,0.00119,0.001187
"214","PRGO",0.021867,0.029027,71.6,0.000911,0.000892,0.001946,0.001899
"215","PRU",0.002428,0.004088,254.8,0.000524,0.00049,0.000944,0.000831
"216","PSX",0.000885,0.005932,124.4,0.00036,0.000348,0.000784,0.00074
"217","PVH",0.00998,0.012827,88.7,0.000823,0.000828,0.001128,0.00116
"218","PWR",-0.001273,0.003324,34.8,0.000662,0.000634,0.001276,0.001157
"219","PXD",-0.007949,0.000405,307.4,0.000784,0.000792,0.001459,0.001525
"220","RCL",0.001746,0.009222,158.6,0.000604,0.000597,0.001069,0.001011
"221","RE",-0.028104,-0.021649,122,0.000988,0.00099,0.002058,0.002099
"222","REG",0.003024,0.005204,53.1,0.000654,0.000653,0.001057,0.001053
"223","RF",-0.001151,0.005208,172.8,0.000506,0.00047,0.000999,0.000909
"224","RHI",0.00179,0.006662,37.7,0.000611,0.000576,0.001296,0.001195
"225","RL",0.014115,0.011476,117.8,0.000806,0.000815,0.0014,0.001417
"226","ROK",-0.000759,0.006672,121.2,0.000676,0.00065,0.00129,0.001217
"227","RTN",-0.006475,-0.004112,301.1,0.000385,0.000375,0.00078,0.000764
"228","SCHW",-0.002136,0.001363,371.4,0.00049,0.000433,0.001145,0.000974
"229","SEE",-0.001415,0.002434,90.8,0.000535,0.000512,0.001125,0.001049
"230","SLB",0.021078,0.031607,603.3,0.000584,0.000582,0.001493,0.001521
"231","SO",-0.017651,-0.019131,343.3,0.000488,0.000488,0.001051,0.001088
"232","SPG",0.000464,0.003959,248.8,0.000562,0.000559,0.001056,0.001013
"233","SPGI",-0.00959,-0.007556,158.3,0.000545,0.000522,0.000994,0.000859
"234","SRE",-0.017781,-0.014684,240.8,0.000562,0.00056,0.001069,0.001042
"235","STI",-0.003233,0.00418,211.4,0.000509,0.000462,0.001037,0.000923
"236","STT",-0.015695,-0.009118,143.1,0.000606,0.000577,0.001183,0.001057
"237","STZ",-0.010712,-0.008794,531.7,0.000559,0.000544,0.000953,0.000928
"238","SWK",-0.011858,-0.006954,147.5,0.000518,0.000507,0.000957,0.000918
"239","SYF",0.001545,0.006475,129.3,0.000541,0.000486,0.001266,0.001091
"240","SYK",0.007948,0.019762,167.5,0.000628,0.000599,0.001012,0.000943
"241","SYY",-0.003136,-0.003787,166.1,0.000496,0.000492,0.00108,0.001118
"242","T",-0.013402,-0.008745,1240.8,0.000579,0.000552,0.001523,0.001474
"243","TAP",0,0.002071,93.4,7e-04,0.000673,0.001186,0.001127
"244","TGT",0.025155,0.036475,575.5,0.000629,0.000614,0.001298,0.001257
"245","TIF",0.017631,0.023858,173.2,0.000767,0.000763,0.001348,0.001343
"246","TJX",-0.002214,0.003008,263.9,0.000549,0.000562,0.001126,0.00114
"247","TMO",0.011361,0.016326,220.2,0.000577,0.000546,0.001226,0.001103
"248","TPR",0.01986,0.023287,85.3,0.000481,0.000484,0.000983,0.001029
"249","TRV",-0.032208,-0.026983,315.3,0.000696,0.00069,0.001658,0.001591
"250","TSN",-0.006183,-0.005551,126.9,0.000544,0.000532,0.000956,0.000935
"251","TWTR",0.018115,0.020825,374.9,0.000942,0.000936,0.002301,0.002319
"252","TXT",0.007005,0.012546,68,0.000524,0.000497,0.001033,0.00089
"253","UAL",0.015201,0.022849,233.7,0.000624,0.000606,0.001116,0.001077
"254","UNH",0.000633,0.003175,770.7,0.000598,0.00056,0.00092,0.000888
"255","UNM",-0.010517,-0.000547,95.7,0.000434,0.000398,0.000912,8e-04
"256","UNP",0.007912,0.012528,583.6,0.00048,0.000456,0.001073,0.00102
"257","UPS",0.029792,0.037935,669.4,0.000585,0.000564,0.001191,0.001125
"258","URI",0.00381,0.009714,141.2,0.000744,0.000711,0.001345,0.001232
"259","USB",-0.00037,0.008399,290,0.000444,0.000395,0.000859,0.000711
"260","UTX",0.002031,0.004625,396.7,0.000433,0.000409,0.000926,0.000882
"261","VLO",0.006595,0.009683,332.5,0.000445,0.000443,0.001062,0.001021
"262","VMC",0.016207,0.027265,246.6,0.000933,0.000915,0.001544,0.00155
"263","VNO",-0.012723,-0.011,57.5,0.000508,0.000498,0.001081,0.001084
"264","VTR",-0.00534,-0.004166,113.9,0.000521,0.000527,0.000907,0.000923
"265","VZ",0.006936,0.011336,858.9,0.000558,0.000535,0.001089,0.001011
"266","WAB",0.014698,0.018421,63,0.000882,0.000868,0.001937,0.001888
"267","WEC",-0.009985,-0.009935,102.7,0.000569,0.000561,0.000984,0.000944
"268","WFC",0.000819,0.006923,844.2,0.000431,0.000381,0.000869,0.000756
"269","WHR",-0.007,-0.003854,113.6,0.000483,0.000481,0.001146,0.001125
"270","WMB",0.015208,0.021318,139.5,0.000539,0.000534,0.001213,0.001161
"271","WMT",-0.007176,-0.00162,1000.7,0.00036,0.000353,0.000703,0.000777
"272","WU",0.001049,0.003682,130.2,0.000542,0.000522,0.001089,0.001007
"273","WY",0,0.001134,111,0.000525,0.000492,0.000882,8e-04
"274","XEC",0.022317,0.028686,152,0.000882,0.000892,0.00168,0.001748
"275","XOM",0.014332,0.016619,975.2,0.00028,0.000278,0.000579,0.000579
"276","XRX",-0.00034,0.007547,52.2,0.000589,0.000547,0.001273,0.001167
"277","YUM",-0.006718,-0.000123,142.6,0.000474,0.000456,0.000933,0.000923
"278","ZBH",0.024975,0.028093,219.1,0.000555,0.000556,0.001216,0.001199
"279","ZTS",-0.010672,-0.003748,153.3,0.000616,0.000589,0.001247,0.001196
